Standard Stars G Band																										
#    	Image	Index 	Name  	Mag   	FWHM	Peak	Std?  	Error 	Error(T)	X	Y	Column	Row  	Backgr	S/N   	Mag Std	Residual	Net Count	Filter	Date	Time	JD	Airmass	ExpTime	Weight	Notes      
44	ngc2158_30_hi_g-0001_stack_wcs.fits	53	Mira-53	13.9501	0.0071	0.0079	06h07m18.408s	"23°59'25.651"""	1229.488	641.39	468.977	138.3	0	54082.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
45	ngc2158_30_hi_g-0001_stack_wcs.fits	54	Mira-54	13.3411	0.0062	0.0056	06h07m19.413s	"23°54'21.897"""	1229.136	181.105	508.933	195.3	0	94773	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
46	ngc2158_30_hi_g-0001_stack_wcs.fits	55	Mira-55	13.8348	0.0069	0.0074	06h07m21.902s	"23°54'15.215"""	1177.907	168.576	487.544	147.4	0	60145.3	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
47	ngc2158_30_hi_g-0001_stack_wcs.fits	56	Mira-56	13.7669	0.0065	0.0071	06h07m30.298s	"23°55'36.989"""	998.126	284.076	483.004	153.7	0	64026.9	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
48	ngc2158_30_hi_g-0001_stack_wcs.fits	57	Mira-57	13.8973	0.0068	0.0077	06h07m44.717s	"23°55'03.904"""	701.038	220.15	489.548	141.9	0	56777.3	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
49	ngc2158_30_hi_g-0001_stack_wcs.fits	58	Mira-58	13.8956	0.0067	0.0076	06h07m53.077s	"23°55'45.222"""	524.786	274.63	490.006	142	0	56866.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
50	ngc2158_30_hi_g-0001_stack_wcs.fits	59	Mira-59	14.4949	0.0089	0.0111	06h07m52.177s	"23°55'16.269"""	545.374	231.707	483.029	97.4	0	32745	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
51	ngc2158_30_hi_g-0001_stack_wcs.fits	60	Mira-60	13.5636	0.006	0.0063	06h07m54.609s	"23°54'23.882"""	498.342	150.169	509.108	172	0	77209	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
52	ngc2158_30_hi_g-0001_stack_wcs.fits	61	Mira-61	13.3457	0.0056	0.0056	06h07m58.778s	"23°53'23.398"""	415.763	54.734	518.503	194.4	0	94369.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
53	ngc2158_30_hi_g-0001_stack_wcs.fits	62	Mira-62	12.76	0.0045	0.0041	06h08m05.015s	"23°57'06.260"""	271.684	385.828	551.544	266.3	0	161852	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
54	ngc2158_30_hi_g-0001_stack_wcs.fits	63	Mira-63	13.8309	0.0064	0.0074	06h08m07.606s	"23°58'16.752"""	213.309	489.976	494.964	147.4	0	60361.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
55	ngc2158_30_hi_g-0001_stack_wcs.fits	64	Mira-64	12.7136	0.0042	0.004	06h08m12.279s	"23°58'44.368"""	114.561	527.328	557.132	272.7	0	168912	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
56	ngc2158_30_hi_g-0001_stack_wcs.fits	65	Mira-65	13.7707	0.0062	0.0071	06h08m07.704s	"24°00'33.707"""	202.337	696.987	490.957	153	0	63802.4	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
57	ngc2158_30_hi_g-0001_stack_wcs.fits	66	Mira-66	13.2555	0.005	0.0053	06h08m03.400s	"24°01'15.806"""	288.856	764.72	499.479	205.2	0	102547	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
58	ngc2158_30_hi_g-0001_stack_wcs.fits	67	Mira-67	12.795	0.0079	0.0041	06h07m51.163s	"24°00'43.475"""	544.816	727.468	511.006	262.8	0	156721	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
59	ngc2158_30_hi_g-0001_stack_wcs.fits	68	Mira-68	13.0479	0.0047	0.0047	06h07m42.813s	"24°00'39.936"""	718.257	730.109	485.986	230.5	0	124150	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
60	ngc2158_30_hi_g-0001_stack_wcs.fits	69	Mira-69	15.0923	0.0116	0.0168	06h07m48.874s	"24°01'51.091"""	587.818	831.901	471.993	64.7	0	18887.4	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
61	ngc2158_30_hi_g-0001_stack_wcs.fits	70	Mira-70	15.8805	0.0174	0.0305	06h07m58.093s	"24°02'05.994"""	395.635	845.649	466.009	35.7	0	9139.35	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
62	ngc2158_30_hi_g-0001_stack_wcs.fits	71	Mira-71	15.3967	0.0137	0.0211	06h08m10.509s	"24°02'36.962"""	136.117	880.728	480.004	51.4	0	14270.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
63	ngc2158_30_hi_g-0001_stack_wcs.fits	72	Mira-72	15.7574	0.0164	0.0276	06h07m54.178s	"24°03'14.520"""	472.315	952.997	465.987	39.3	0	10236.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
